Date,Open,High,Low,Close,Adj Close,Volume
2021-02-25,2.020000,2.020000,1.900000,1.900000,1.869323,109146
2021-02-26,1.920000,1.950000,1.900000,1.930000,1.898839,120189
2021-03-01,1.930000,2.000000,1.900000,2.000000,1.967708,91195
2021-03-02,1.990000,2.040000,1.990000,2.020000,1.987385,769266
2021-03-03,2.020000,2.030000,2.000000,2.000000,1.967708,616774
2021-03-04,2.010000,2.020000,1.980000,1.980000,1.948031,126270
2021-03-05,1.980000,2.000000,1.940000,1.960000,1.928354,185655
2021-03-08,1.960000,1.980000,1.950000,1.980000,1.948031,88972
2021-03-09,1.970000,1.980000,1.910000,1.910000,1.879161,82483
2021-03-10,1.910000,1.970000,1.910000,1.920000,1.889000,77098
2021-03-11,1.920000,1.950000,1.900000,1.900000,1.900000,48573
2021-03-12,1.910000,1.940000,1.900000,1.930000,1.930000,139468
2021-03-15,1.930000,1.960000,1.920000,1.960000,1.960000,109001
2021-03-16,1.970000,2.000000,1.970000,1.990000,1.990000,83452
2021-03-17,1.990000,2.000000,1.980000,2.000000,2.000000,189128
2021-03-18,2.000000,2.010000,1.980000,2.000000,2.000000,143632
2021-03-19,2.000000,2.020000,2.000000,2.020000,2.020000,188306
2021-03-22,2.020000,2.030000,1.980000,1.980000,1.980000,125034
2021-03-23,1.980000,1.990000,1.960000,1.960000,1.960000,118194
2021-03-24,1.970000,1.980000,1.960000,1.980000,1.980000,33894
2021-03-25,1.980000,2.030000,1.980000,2.030000,2.030000,239171
2021-03-26,2.020000,2.040000,2.000000,2.030000,2.030000,478759
2021-03-29,2.030000,2.050000,2.010000,2.020000,2.020000,222890
2021-03-30,2.020000,2.040000,2.020000,2.020000,2.020000,385330
2021-03-31,2.030000,2.100000,2.030000,2.100000,2.100000,126541
2021-04-01,2.100000,2.110000,2.060000,2.100000,2.100000,90099
2021-04-06,2.100000,2.110000,2.070000,2.090000,2.090000,134193
2021-04-07,2.080000,2.090000,2.030000,2.060000,2.060000,108877
2021-04-08,2.080000,2.090000,2.030000,2.090000,2.090000,139571
2021-04-09,2.080000,2.090000,2.040000,2.080000,2.080000,62614
2021-04-12,2.080000,2.080000,2.040000,2.080000,2.080000,104417
2021-04-13,2.080000,2.080000,2.060000,2.080000,2.080000,58741
2021-04-14,2.060000,2.090000,2.060000,2.090000,2.090000,98004
2021-04-15,2.090000,2.120000,2.070000,2.100000,2.100000,69944
2021-04-16,2.130000,2.130000,2.020000,2.090000,2.090000,366232
2021-04-19,2.090000,2.100000,2.050000,2.070000,2.070000,75208
2021-04-20,2.080000,2.100000,2.060000,2.060000,2.060000,102987
2021-04-21,2.070000,2.090000,2.060000,2.060000,2.060000,46546
2021-04-22,2.070000,2.090000,2.050000,2.080000,2.080000,55886
2021-04-23,2.070000,2.100000,2.030000,2.050000,2.050000,408203
2021-04-27,2.060000,2.150000,2.060000,2.100000,2.100000,332283
2021-04-28,2.100000,2.110000,2.070000,2.070000,2.070000,399722
2021-04-29,2.070000,2.100000,2.050000,2.070000,2.070000,76973
2021-04-30,2.080000,2.090000,2.050000,2.070000,2.070000,59225
2021-05-03,2.080000,2.080000,2.050000,2.050000,2.050000,50230
2021-05-04,2.070000,2.080000,2.040000,2.050000,2.050000,230715
2021-05-05,2.060000,2.060000,2.040000,2.050000,2.050000,190595
2021-05-06,2.040000,2.040000,2.010000,2.020000,2.020000,185959
2021-05-07,2.010000,2.020000,1.990000,2.000000,2.000000,202339
2021-05-10,2.000000,2.030000,1.990000,2.030000,2.030000,118770
2021-05-11,2.040000,2.050000,1.990000,1.990000,1.990000,67071
2021-05-12,2.000000,2.050000,1.990000,2.010000,2.010000,450462
2021-05-13,2.000000,2.040000,2.000000,2.040000,2.040000,81500
2021-05-14,2.040000,2.040000,1.990000,1.990000,1.990000,63363
2021-05-17,2.010000,2.050000,2.010000,2.050000,2.050000,92909
2021-05-18,2.050000,2.060000,2.030000,2.060000,2.060000,212310
2021-05-19,2.030000,2.060000,2.030000,2.040000,2.040000,71728
2021-05-20,2.030000,2.040000,2.000000,2.010000,2.010000,574416
2021-05-21,2.020000,2.040000,2.010000,2.020000,2.020000,127416
2021-05-24,2.020000,2.020000,1.990000,2.010000,2.010000,147854
2021-05-25,2.010000,2.040000,2.010000,2.030000,2.030000,68590
2021-05-26,2.040000,2.060000,2.020000,2.060000,2.060000,144405
2021-05-27,2.060000,2.100000,2.050000,2.090000,2.090000,938615
2021-05-28,2.090000,2.090000,2.050000,2.060000,2.060000,168342
2021-05-31,2.060000,2.120000,2.060000,2.120000,2.120000,250395
2021-06-01,2.100000,2.100000,2.050000,2.070000,2.070000,76737
2021-06-02,2.070000,2.130000,2.060000,2.130000,2.130000,116523
2021-06-03,2.130000,2.130000,2.070000,2.080000,2.080000,131506
2021-06-04,2.080000,2.100000,2.060000,2.100000,2.100000,37880
2021-06-08,2.100000,2.110000,2.060000,2.060000,2.060000,877300
2021-06-09,2.070000,2.100000,2.050000,2.050000,2.050000,121938
2021-06-10,2.060000,2.110000,2.060000,2.100000,2.100000,432026
2021-06-11,2.090000,2.090000,2.070000,2.070000,2.070000,344939
2021-06-14,2.070000,2.100000,2.070000,2.090000,2.090000,68652
2021-06-15,2.090000,2.100000,2.070000,2.070000,2.070000,597061
2021-06-16,2.060000,2.090000,2.000000,2.070000,2.070000,484996
2021-06-17,2.080000,2.080000,2.040000,2.080000,2.080000,131997
2021-06-18,2.080000,2.080000,2.040000,2.070000,2.070000,219895
2021-06-21,2.050000,2.070000,2.030000,2.060000,2.060000,186064
2021-06-22,2.050000,2.060000,2.010000,2.060000,2.060000,303663
2021-06-23,2.050000,2.050000,2.010000,2.050000,2.050000,421729
2021-06-24,2.030000,2.060000,2.020000,2.050000,2.050000,198930
2021-06-25,2.020000,2.060000,2.010000,2.040000,2.040000,423786
2021-06-28,2.040000,2.040000,2.000000,2.000000,2.000000,150696
2021-06-29,2.000000,2.010000,2.000000,2.000000,2.000000,1106386
2021-06-30,2.000000,2.010000,1.990000,2.000000,2.000000,247113
2021-07-01,1.990000,2.000000,1.990000,1.990000,1.990000,127665
2021-07-02,1.990000,2.000000,1.980000,1.980000,1.980000,632194
2021-07-05,1.990000,2.000000,1.980000,1.990000,1.990000,229643
2021-07-06,1.990000,2.040000,1.990000,2.020000,2.020000,73313
2021-07-07,2.020000,2.050000,2.000000,2.000000,2.000000,237705
2021-07-08,1.990000,2.020000,1.980000,1.980000,1.980000,103871
2021-07-09,1.990000,2.000000,1.980000,2.000000,2.000000,83528
2021-07-12,1.990000,1.990000,1.970000,1.970000,1.970000,109418
2021-07-13,1.980000,1.980000,1.960000,1.970000,1.970000,105808
2021-07-14,1.960000,1.960000,1.930000,1.930000,1.930000,144554
2021-07-15,1.930000,1.940000,1.920000,1.930000,1.930000,177100
2021-07-16,1.930000,1.940000,1.920000,1.920000,1.920000,144798
2021-07-19,1.930000,1.930000,1.880000,1.880000,1.880000,132360
2021-07-20,1.850000,1.860000,1.820000,1.820000,1.820000,313191
2021-07-21,1.860000,1.920000,1.850000,1.910000,1.910000,336080
2021-07-22,1.910000,1.920000,1.890000,1.900000,1.900000,57177
2021-07-23,1.900000,1.920000,1.900000,1.900000,1.900000,13845
